epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.184,1.19734,1.70415,1.56075,0.89743,0.80716,0.87965,0.69094,0.83996,1.46094,1.2392,0.000665443,0.000665443,0.000665443
2,356.387,1.28765,1.32599,1.63672,0.83892,0.77474,0.82105,0.66221,0.79198,0.86218,1.22442,0.00120023,0.00120023,0.00120023
3,527.229,1.23069,1.22953,1.59321,0.83075,0.74656,0.83215,0.68094,0.74344,0.86822,1.19159,0.00160302,0.00160302,0.00160302
4,696.451,1.15837,1.13019,1.52199,0.93048,0.84022,0.90321,0.7895,0.56065,0.56778,1.04886,0.001406,0.001406,0.001406
5,866.323,1.06744,1.00595,1.45213,0.92536,0.84848,0.9039,0.78365,0.58324,0.52675,1.05125,0.001208,0.001208,0.001208
6,1060.88,1.01542,0.91086,1.40601,0.93902,0.84843,0.91376,0.82801,0.47784,0.48504,1.00507,0.00101,0.00101,0.00101
7,1230.26,0.96247,0.83918,1.36022,0.93253,0.85399,0.9143,0.81287,0.51408,0.48629,1.01885,0.000812,0.000812,0.000812
8,1400.47,0.92195,0.79268,1.32448,0.94864,0.86493,0.92682,0.83179,0.51804,0.42919,1.00633,0.000614,0.000614,0.000614
9,1570.11,0.88109,0.73577,1.29378,0.95107,0.84848,0.93103,0.85927,0.42401,0.39504,0.95811,0.000416,0.000416,0.000416
10,1739.59,0.83863,0.68436,1.25231,0.91673,0.87879,0.9325,0.86514,0.4173,0.38494,0.95486,0.000218,0.000218,0.000218
