epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.658,1.04684,1.26504,1.37131,0.9048,0.81818,0.88583,0.77177,0.55066,0.57649,1.04222,0.00332722,0.00332722,0.00332722
2,225.166,1.04681,0.95462,1.35014,0.89577,0.79614,0.86184,0.75188,0.57131,0.63118,1.08451,0.00658728,0.00658728,0.00658728
3,327.848,1.14487,1.09644,1.42735,0.79817,0.80441,0.84251,0.66979,0.84115,0.87188,1.24879,0.00977402,0.00977402,0.00977402
4,429.718,1.217,1.16746,1.48536,0.90871,0.83471,0.88895,0.75632,0.62024,0.73902,1.11403,0.00967,0.00967,0.00967
5,531.404,1.17074,1.11784,1.45173,0.9037,0.84848,0.88689,0.77858,0.57888,0.60654,1.08334,0.00956,0.00956,0.00956
6,633.253,1.14524,1.07511,1.43302,0.92326,0.81818,0.89876,0.78738,0.52402,0.54955,1.03109,0.00945,0.00945,0.00945
7,735.206,1.10458,1.01157,1.40513,0.93654,0.87052,0.90787,0.79309,0.56549,0.50016,1.06384,0.00934,0.00934,0.00934
8,837.557,1.0742,0.97457,1.38546,0.95193,0.86501,0.92677,0.8383,0.48335,0.49663,0.99128,0.00923,0.00923,0.00923
9,939.739,1.06027,0.94235,1.3668,0.95023,0.84154,0.92019,0.81663,0.49773,0.47224,1.01246,0.00912,0.00912,0.00912
10,1042.75,1.04989,0.91992,1.36144,0.89834,0.82769,0.90056,0.7594,0.67133,0.57065,1.13092,0.00901,0.00901,0.00901
11,1141.93,1.02961,0.90608,1.34933,0.90465,0.88865,0.92559,0.83694,0.46661,0.45185,0.99865,0.0089,0.0089,0.0089
12,1241.23,1.01601,0.87796,1.33592,0.87319,0.7741,0.8598,0.75452,0.57672,0.64126,1.07841,0.00879,0.00879,0.00879
13,1340.42,0.98497,0.84562,1.31643,0.90507,0.89295,0.92446,0.82595,0.48874,0.4644,1.01402,0.00868,0.00868,0.00868
14,1439.59,0.97935,0.84326,1.31454,0.89574,0.87572,0.92487,0.82671,0.47875,0.44544,1.00458,0.00857,0.00857,0.00857
15,1538.85,0.97937,0.8279,1.30963,0.94567,0.87879,0.92302,0.8471,0.44707,0.42433,0.98087,0.00846,0.00846,0.00846
16,1638.13,0.96794,0.81355,1.30013,0.90709,0.88758,0.93078,0.85287,0.44843,0.41789,0.99173,0.00835,0.00835,0.00835
17,1738.02,0.96369,0.82474,1.29934,0.92244,0.88457,0.93405,0.85994,0.43797,0.38838,0.98068,0.00824,0.00824,0.00824
18,1837.23,0.96359,0.79975,1.2955,0.92248,0.87328,0.9295,0.85184,0.45367,0.42247,0.98514,0.00813,0.00813,0.00813
19,1936.43,0.94887,0.78578,1.28355,0.93571,0.89532,0.92708,0.84973,0.44902,0.40941,0.99359,0.00802,0.00802,0.00802
20,2035.59,0.95053,0.7747,1.28187,0.91383,0.8843,0.91856,0.85087,0.43789,0.40941,0.98966,0.00791,0.00791,0.00791
21,2134.77,0.93703,0.76501,1.27409,0.88384,0.90083,0.9312,0.85954,0.42532,0.39934,0.97334,0.0078,0.0078,0.0078
22,2233.91,0.92864,0.75478,1.27294,0.92652,0.86839,0.92722,0.85338,0.4298,0.40087,0.98243,0.00769,0.00769,0.00769
23,2333.06,0.9221,0.74244,1.26269,0.92874,0.89754,0.93913,0.86718,0.42412,0.36896,0.96754,0.00758,0.00758,0.00758
24,2432.22,0.91498,0.73741,1.25727,0.95673,0.87052,0.94019,0.8719,0.41493,0.36866,0.96263,0.00747,0.00747,0.00747
25,2531.42,0.90992,0.72418,1.25121,0.94021,0.87603,0.94408,0.87593,0.41822,0.37245,0.9569,0.00736,0.00736,0.00736
26,2630.67,0.8946,0.71191,1.24393,0.91358,0.87369,0.93437,0.86476,0.41769,0.40131,0.96225,0.00725,0.00725,0.00725
27,2729.81,0.90151,0.7142,1.25075,0.93278,0.90083,0.93382,0.86989,0.39953,0.36178,0.95662,0.00714,0.00714,0.00714
28,2829,0.89459,0.70314,1.24495,0.93366,0.89532,0.93765,0.88178,0.38607,0.36136,0.93433,0.00703,0.00703,0.00703
29,2928.21,0.88176,0.69915,1.2337,0.93928,0.89485,0.94117,0.87959,0.38186,0.34563,0.94961,0.00692,0.00692,0.00692
30,3027.39,0.88401,0.69337,1.23298,0.91965,0.91437,0.94256,0.88398,0.37255,0.3362,0.94312,0.00681,0.00681,0.00681
31,3126.68,0.88426,0.69366,1.23057,0.93177,0.9029,0.93372,0.86773,0.37867,0.37753,0.9446,0.0067,0.0067,0.0067
32,3225.86,0.87665,0.67974,1.22558,0.93927,0.89481,0.93692,0.87444,0.37173,0.34688,0.94151,0.00659,0.00659,0.00659
33,3325,0.86866,0.67547,1.22215,0.93705,0.89532,0.93486,0.86273,0.40824,0.36161,0.96408,0.00648,0.00648,0.00648
34,3424.17,0.86761,0.66321,1.2187,0.947,0.89256,0.93927,0.87898,0.383,0.34996,0.94833,0.00637,0.00637,0.00637
35,3523.82,0.8583,0.65219,1.21172,0.94097,0.90634,0.94367,0.88476,0.3744,0.34576,0.95078,0.00626,0.00626,0.00626
36,3622.81,0.85779,0.65747,1.21352,0.93275,0.87885,0.9373,0.87822,0.38743,0.37447,0.94881,0.00615,0.00615,0.00615
37,3721.79,0.84792,0.64679,1.20863,0.93663,0.88981,0.94249,0.87188,0.38583,0.35734,0.94675,0.00604,0.00604,0.00604
38,3820.79,0.84123,0.63929,1.19973,0.93154,0.8997,0.94261,0.88227,0.38465,0.33578,0.95125,0.00593,0.00593,0.00593
39,3919.96,0.83679,0.63601,1.19879,0.93882,0.88774,0.94032,0.87766,0.37898,0.3438,0.95143,0.00582,0.00582,0.00582
40,4019.09,0.83876,0.6258,1.19715,0.92971,0.9109,0.94374,0.88973,0.35818,0.32875,0.93279,0.00571,0.00571,0.00571
41,4118.07,0.82768,0.62431,1.19315,0.9258,0.89374,0.93614,0.87926,0.364,0.34855,0.93803,0.0056,0.0056,0.0056
42,4217.06,0.81936,0.60977,1.1841,0.93938,0.89647,0.93761,0.88122,0.36004,0.33996,0.93103,0.00549,0.00549,0.00549
43,4316.2,0.82137,0.61107,1.18735,0.94499,0.87052,0.94346,0.88663,0.35856,0.32907,0.93521,0.00538,0.00538,0.00538
44,4415.28,0.8205,0.61858,1.18308,0.93461,0.89532,0.945,0.88556,0.36781,0.33799,0.94083,0.00527,0.00527,0.00527
45,4514.25,0.81147,0.60051,1.1839,0.93199,0.88705,0.94134,0.88272,0.37063,0.34467,0.94593,0.00516,0.00516,0.00516
46,4613.3,0.80582,0.59736,1.17407,0.92339,0.9146,0.94063,0.87903,0.37534,0.33293,0.94408,0.00505,0.00505,0.00505
